category,period,name1,name2,value,lower,upper,chs_value,good_start_value,bad_start_value
control_coeffs,4,y2,constant,1.01276643,-inf,inf,1.01276643,1.0,0.0
control_coeffs,4,y2,x1,0.96884594,-inf,inf,0.96884594,1.0,0.0
control_coeffs,4,y3,constant,1.0639416000000002,-inf,inf,1.0639416000000002,1.1,0.0
control_coeffs,4,y3,x1,0.96348822,-inf,inf,0.96348822,1.0,0.0
control_coeffs,4,y4,constant,1.05030944,-inf,inf,1.05030944,1.1,0.0
control_coeffs,4,y4,x1,0.97249741,-inf,inf,0.97249741,1.0,0.0
control_coeffs,4,y5,constant,0.95867367,-inf,inf,0.95867367,1.0,0.0
control_coeffs,4,y5,x1,1.01263275,-inf,inf,1.01263275,1.0,0.0
control_coeffs,4,y6,constant,1.02067436,-inf,inf,1.02067436,1.0,0.0
control_coeffs,4,y6,x1,0.97561054,-inf,inf,0.97561054,1.0,0.0
control_coeffs,4,Q1_fac1,constant,1.03648928,-inf,inf,1.03648928,1.0,0.0
control_coeffs,4,Q1_fac1,x1,0.94351157,-inf,inf,0.94351157,0.9,0.0
control_coeffs,5,y1,constant,0.92274679,-inf,inf,0.92274679,0.9,0.0
control_coeffs,5,y1,x1,1.02885338,-inf,inf,1.02885338,1.0,0.0
control_coeffs,5,y2,constant,0.97278707,-inf,inf,0.97278707,1.0,0.0
control_coeffs,5,y2,x1,0.99430379,-inf,inf,0.99430379,1.0,0.0
control_coeffs,5,y3,constant,1.02364392,-inf,inf,1.02364392,1.0,0.0
control_coeffs,5,y3,x1,0.97922354,-inf,inf,0.97922354,1.0,0.0
control_coeffs,5,y4,constant,0.9576603,-inf,inf,0.9576603,1.0,0.0
control_coeffs,5,y4,x1,1.01557986,-inf,inf,1.01557986,1.0,0.0
control_coeffs,5,y5,constant,1.04015694,-inf,inf,1.04015694,1.0,0.0
control_coeffs,5,y5,x1,0.96898918,-inf,inf,0.96898918,1.0,0.0
control_coeffs,5,y6,constant,1.00635915,-inf,inf,1.00635915,1.0,0.0
control_coeffs,5,y6,x1,0.97658414,-inf,inf,0.97658414,1.0,0.0
control_coeffs,5,Q1_fac1,constant,1.03648928,-inf,inf,1.03648928,1.0,0.0
control_coeffs,5,Q1_fac1,x1,0.94351157,-inf,inf,0.94351157,0.9,0.0
control_coeffs,6,y1,constant,0.99929141,-inf,inf,0.99929141,1.0,0.0
control_coeffs,6,y1,x1,0.98368467,-inf,inf,0.98368467,1.0,0.0
control_coeffs,6,y2,constant,1.04782772,-inf,inf,1.04782772,1.0,0.0
control_coeffs,6,y2,x1,0.93183755,-inf,inf,0.93183755,0.9,0.0
control_coeffs,6,y3,constant,1.00920751,-inf,inf,1.00920751,1.0,0.0
control_coeffs,6,y3,x1,0.95146637,-inf,inf,0.95146637,1.0,0.0
control_coeffs,6,y4,constant,1.05400193,-inf,inf,1.05400193,1.1,0.0
control_coeffs,6,y4,x1,0.99101302,-inf,inf,0.99101302,1.0,0.0
control_coeffs,6,y5,constant,1.06296891,-inf,inf,1.06296891,1.1,0.0
control_coeffs,6,y5,x1,0.9781293,-inf,inf,0.9781293,1.0,0.0
control_coeffs,6,y6,constant,1.01391456,-inf,inf,1.01391456,1.0,0.0
control_coeffs,6,y6,x1,0.9949447,-inf,inf,0.9949447,1.0,0.0
control_coeffs,6,Q1_fac1,constant,1.03648928,-inf,inf,1.03648928,1.0,0.0
control_coeffs,6,Q1_fac1,x1,0.94351157,-inf,inf,0.94351157,0.9,0.0
control_coeffs,7,y1,constant,1.03694603,-inf,inf,1.03694603,1.0,0.0
control_coeffs,7,y1,x1,0.94997421,-inf,inf,0.94997421,0.9,0.0
control_coeffs,7,y2,constant,1.05734328,-inf,inf,1.05734328,1.1,0.0
control_coeffs,7,y2,x1,0.94683688,-inf,inf,0.94683688,0.9,0.0
control_coeffs,7,y3,constant,1.04305552,-inf,inf,1.04305552,1.0,0.0
control_coeffs,7,y3,x1,0.97187261,-inf,inf,0.97187261,1.0,0.0
control_coeffs,7,y4,constant,1.06978168,-inf,inf,1.06978168,1.1,0.0
control_coeffs,7,y4,x1,0.94043886,-inf,inf,0.94043886,0.9,0.0
control_coeffs,7,y5,constant,1.01505491,-inf,inf,1.01505491,1.0,0.0
control_coeffs,7,y5,x1,0.9762739,-inf,inf,0.9762739,1.0,0.0
control_coeffs,7,y6,constant,1.02936846,-inf,inf,1.02936846,1.0,0.0
control_coeffs,7,y6,x1,0.9811178,-inf,inf,0.9811178,1.0,0.0
control_coeffs,7,Q1_fac1,constant,1.03648928,-inf,inf,1.03648928,1.0,0.0
control_coeffs,7,Q1_fac1,x1,0.94351157,-inf,inf,0.94351157,0.9,0.0
loading,0,y2,fac1,1.24759799,-inf,inf,1.24759799,1.2,1.0
loading,0,y3,fac1,1.55939677,-inf,inf,1.55939677,1.6,1.0
loading,0,y5,fac2,0.9908065,-inf,inf,0.9908065,1.0,1.0
loading,0,y6,fac2,0.68554932,-inf,inf,0.68554932,0.7,1.0
loading,0,y8,fac3,1.1132403,-inf,inf,1.1132403,1.1,1.0
loading,0,y9,fac3,0.70906931,-inf,inf,0.70906931,0.7,1.0
loading,0,Q1_fac1,fac1,0.93520167,-inf,inf,0.93520167,0.9,1.0
loading,1,y2,fac1,1.21745308,-inf,inf,1.21745308,1.2,1.0
loading,1,y3,fac1,1.34547457,-inf,inf,1.34547457,1.3,1.0
loading,1,y5,fac2,0.82645675,-inf,inf,0.82645675,0.8,1.0
loading,1,y6,fac2,0.60128174,-inf,inf,0.60128174,0.6,1.0
loading,1,Q1_fac1,fac1,0.93520167,-inf,inf,0.93520167,0.9,1.0
loading,2,y2,fac1,1.18091396,-inf,inf,1.18091396,1.2,1.0
loading,2,y3,fac1,1.41494654,-inf,inf,1.41494654,1.4,1.0
loading,2,y5,fac2,0.78412623,-inf,inf,0.78412623,0.8,1.0
loading,2,y6,fac2,0.6095229,-inf,inf,0.6095229,0.6,1.0
loading,2,Q1_fac1,fac1,0.93520167,-inf,inf,0.93520167,0.9,1.0
loading,3,y2,fac1,1.28957256,-inf,inf,1.28957256,1.3,1.0
loading,3,y3,fac1,1.42483912,-inf,inf,1.42483912,1.4,1.0
loading,3,y5,fac2,0.75831051,-inf,inf,0.75831051,0.8,1.0
loading,3,y6,fac2,0.60278636,-inf,inf,0.60278636,0.6,1.0
loading,3,Q1_fac1,fac1,0.93520167,-inf,inf,0.93520167,0.9,1.0
loading,4,y2,fac1,1.24216652,-inf,inf,1.24216652,1.2,1.0
